output,type,embedded_in_manuscript,producer,run_command,writer_verified,notes
figures/ne2025_mw_characterization.pdf,figure,no,scripts/plot_ne2025_mw_properties.py,python scripts/plot_ne2025_mw_properties.py,yes,"ORPHAN (not embedded; only the _nside32 variant is). Default --nside 8 => empty suffix (L80), savefig L257-258. Faber2026-local."
figures/galaxies_cgm.pdf,figure,no,pipeline/galaxies/v2_0/systems_figures.py,cd pipeline && uv run python galaxies/v2_0/systems_figures.py,candidate,Staged. Multi-fig script. Submodule.
figures/sightline_dm_scattering_budget.pdf,figure,no,pipeline/galaxies/foreground/sightline_budget.py,cd pipeline && uv run python galaxies/foreground/sightline_budget.py,candidate,Staged. Same module emits the sightline_dm_scattering_budget.md/.csv budget text (L1104-1107). Submodule.
figures/jointmodel_montage.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/plot_jointmodel_montage.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/plot_jointmodel_montage.py,candidate,Staged. Submodule.
figures/alpha_pbf_systematic.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/plot_alpha_pbf_systematic.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/plot_alpha_pbf_systematic.py,yes,Staged (alpha-limit language parked). savefig L189 (stem+ext loop). Submodule.
figures/chime_subband_compare.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/chime_subband_compare.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/chime_subband_compare.py,candidate,Staged. Submodule.
figures/subband_tau_validation_grid.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/joint_ladder/_subband_tau_validation.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/joint_ladder/_subband_tau_validation.py,candidate,Staged. Submodule.
figures/codetection_scint_excess.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,figbank.py is a multi-figure bank. Submodule.
figures/pbf_shapes.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,Via figbank. Submodule.
figures/wilhelm_pbf_evidence.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,wilhelm=FRB20221203A. Via figbank. Submodule.
figures/wilhelm_scint_dnud_ne2025.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,wilhelm=FRB20221203A. Via figbank. Submodule.
figures/systematics_check_matrix.pdf,figure,no,pipeline/crossmatching/plotting.py,cd pipeline && uv run python crossmatching/plotting.py,candidate,Multi-fig module. Submodule.
figures/toa_crossmatch_analysis_premium.pdf,figure,no,pipeline/crossmatching/plotting.py,cd pipeline && uv run python crossmatching/plotting.py,candidate,Multi-fig module. Submodule.
figures/freya_dsa_gamma_summary.pdf,figure,no,pipeline/scintillation/scint_analysis/plotting.py::plot_subband_gamma_summary,(no committed CLI caller; run plot_subband_gamma_summary with save_path against scintillation/configs/bursts/freya_dsa.yaml Lorentzian fits),candidate,"RESOLVED to producing function via commit 18fbe98 ('freya DSA gamma(nu) summary — manuscript export'): plot_subband_gamma_summary (FLITS #130), run at pinned submodule 25b8cc6 with freya_dsa.yaml fits. save_path is caller-supplied; no committed script passes the freya_dsa_gamma_summary stem. freya=FRB20230325A. Submodule."
figures/whitney_multiplicity.pdf,figure,no,(unresolved — committed as binary),(unknown),unresolved,"Committed as a binary copy-in (commit 438825f, alongside alpha_pbf_systematic.pdf); no producer script in the current tree. Framed (commit b96aa29) as whitney's 1-component multiplicity demo illustrating the [1.5,6.0] prior (alpha rails to 1.5); whitney stays 2-component canonical. Likely a local/HPC burstfit run not committed. whitney=FRB20220310F. Needs author confirmation. Submodule scope."
